MARKET,DOMAIN,CDN,C. UNICOM(%),C. TELECOM(%),C.MOBILE(%),AVAILABILITY(%),STATUS,DAILY REMARKS,Update status,Remarks,Status,Availability Threshold,,Date & Time filtering,
M88 - MALAY  (AFFILLIATE),msgfpl.com,CF,,OK,,,,,TECH-133227 | 03/09/2026 | Blocked domain: ms8site.com,,,,,,
VIRTECH-INDIA,msehqo.com,CF,,OK,,,,,TECH-28475 | added entry on NB 10.28.21,,,,,,
,ms881.asia,MSFT,,OK,,,,,TECH-28475 | Monitored since 10.28.21,,,,,,
M88 - INDIA (SEO),mspzvx.com,CF,,OK,,,,,TECH-28475 | Monitored since 10.28.21,,,,,,
MSITE - KOREA  (AFFILLIATE),fxinplay.com,CF,,Critical,"Below 80% since JAN 19, 2026",,,,Newly Added | 9.24.2024,,,,,,
,m88kor1.com,CF,,OK,,,,,TECH-118986 | Replaced | Low availability - m88fes.com 4-17-2025,,,,,,
M88 - KOREA (SEO),korm88.com,CF,,Critical,"Below 80% since JAN 19, 2026",,,,Newly Added | 9.24.2024,,,,,,
M88-Help Sites - VN,m88helpinfo.com,GODAD,,OK,,,,,TECH-28475 | Monitored since 10.28.21,,,,,,
VN,m88help.net,MSFT,,OK,,,,, | Monitored since 05.05.22,,,,,,
VN,m88help.com,MSFT,,OK,,,,,DM-2341 | Monitored since 5.17.22,,,,,,
VN,m88services.com,MSFT,,OK,,,,,,,,,,,
M88-Help Sites - ID,m88helpid.com,MSFT,,OK,,,,,TECH-28475 | Monitored since 10.28.21,,,,,,
ID,m88helpinfo.com,MSFT,,OK,,,,,TECH-28475 | Monitored since 10.28.21,,,,,,
M88-Help Sites - TH,m88helpinfo.com,GODAD,,OK,,,,,TECH-28475 | Monitored since 10.28.21,,,,,,
TH,m88help.net,MSFT,,OK,,,,, | Monitored since 05.05.22,,,,,,
TH,m88help.com,MSFT,,OK,,,,,Newly Added | 10.25.22,,,,,,
TH,m88services.com,CF,,OK,,,,,TECH-80069 Replaced 09-23-2023|Governmen Blocking| royal38.com,,,,,,
 M88- VIP - ID,msjsus.com,CF,,OK,,,,,TECH-112131 Replaced 12-17-2023| Government Blocking | 723287.com,,,,,,
ID,cole1111.com,CF,,OK,,,,,Newly Added | 10.25.22,,,,,,
 M88- VIP - MY,m88my1.com,CF,,OK,,,,,TECH-104463 Replaced | Domain issue -m7889.asia 8-28-2024,,,,,,
 M88- VIP - VN,ms8791.com,CF,,OK,,,,,TECH-107095 Replaced | Domain issue: ms8farm.com 10-5-2024,,,,,,
VN,msyyaf.com,INCAP,,OK,,,,,TECH-107095 Replaced | Domain issue: ms8farm.com 10-5-2024,,,,,,
VN,msvmov.com,INCAP,,OK,,,,,TECH-107095 Replaced | Domain issue: ms8farm.com 10-5-2024,,,,,,
 M88- VIP - TH,mth88.com,CF,,OK,,,,,,,,,,,
